rps cpu_limit req_rate req_latency cpu cpu0 cpu1 cpu2 cpu3 cpu4 cpu5 cpu6 cpu7 cpu8 cpu9 cpu10 cpu11 cpu12 cpu13 cpu14 cpu15 memory_usage 
18 5500m 18.027117433284428 38.175257731958766 65.3 4.0 4.1 4.1 4.1 4.2 4.0 4.1 4.1 4.1 4.1 4.1 4.1 4.0 4.1 4.0 4.1 557.8669942550335
20 5500m 20.027065372818434 37.0770533446232 70.3 4.4 4.4 4.4 4.3 4.4 4.4 4.4 4.4 4.4 4.5 4.4 4.4 4.3 4.4 4.4 4.4 557.7280601342278
22 5500m 22.027690080648526 35.862909367859864 77.5 4.8 5.0 4.9 4.8 4.9 4.8 4.9 4.8 4.9 4.9 4.8 4.7 4.8 4.8 4.9 4.8 562.6660217986575
25 5500m 25.03518124698272 34.22730329522528 85.80000000000001 5.3 5.4 5.3 5.3 5.3 5.4 5.4 5.4 5.4 5.4 5.4 5.3 5.4 5.4 5.4 5.3 595.9578287248321
27 5500m 27.032600304009314 33.63619402985075 90.60000000000001 5.7 5.6 5.6 5.7 5.7 5.6 5.7 5.7 5.6 5.7 5.6 5.6 5.8 5.7 5.7 5.6 599.8525336912752
30 5500m 30.02538391321008 41.050251256281406 99.10000000000001 6.2 6.1 6.3 6.2 6.2 6.2 6.1 6.2 6.1 6.2 6.3 6.3 6.1 6.2 6.2 6.2 632.5673819060402
32 5500m 32.01679030391881 56.40909090909091 99.40000000000002 6.2 6.3 6.2 6.3 6.2 6.2 6.1 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.3 6.2 672.7413897449663
35 5500m 31.27268321979505 4296.594839942666 98.4 6.1 6.1 6.3 6.2 6.2 6.1 6.1 6.1 6.2 6.1 6.1 6.1 6.1 6.2 6.2 6.2 968.9049835489611
1 6000m 1.017351995653715 43.1 3.7 0.3 0.2 0.2 0.3 0.2 0.2 0.2 0.2 0.3 0.2 0.2 0.3 0.2 0.2 0.2 0.3 642.3486573959731
3 6000m 3.017973298288596 43.63333333333333 11.399999999999999 0.7 0.8 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.8 0.7 0.7 0.7 0.7 0.7 566.0075743355704
5 6000m 5.019027861964095 43.508361204013376 19.699999999999996 1.2 1.2 1.2 1.3 1.2 1.3 1.3 1.2 1.2 1.2 1.2 1.2 1.3 1.2 1.3 1.2 570.0140396241617
7 6000m 7.019962039017918 42.39808153477218 25.800000000000004 1.6 1.6 1.6 1.6 1.6 1.7 1.6 1.6 1.7 1.6 1.6 1.5 1.6 1.6 1.7 1.6 569.1240393020136
10 6000m 10.022141374794053 41.57021996615905 35.4 2.3 2.2 2.2 2.1 2.2 2.2 2.2 2.3 2.3 2.2 2.2 2.3 2.2 2.2 2.1 2.2 572.7154340939594
12 6000m 12.022626573930333 40.9958041958042 42.2 2.8 2.6 2.6 2.6 2.6 2.6 2.6 2.5 2.6 2.8 2.6 2.6 2.7 2.7 2.8 2.5 574.5722278657717
15 6000m 15.02381423291678 39.80670391061452 51.10000000000001 3.3 3.1 3.1 3.2 3.2 3.2 3.2 3.2 3.3 3.2 3.1 3.2 3.2 3.2 3.2 3.2 577.4891434093963
18 6000m 18.024118691821307 38.38461538461539 60.499999999999986 3.8 3.8 3.9 3.7 3.7 3.7 3.8 3.8 3.7 3.8 3.7 3.8 3.9 3.8 3.8 3.8 576.1216017181207
20 6000m 20.026586990480087 37.19357565511412 65.2 4.1 4.0 4.0 4.1 4.1 4.1 4.1 4.1 4.1 4.1 4.1 4.1 3.9 4.1 4.1 4.1 575.8874562147658
22 6000m 22.033375636035643 35.82695252679939 69.99999999999999 4.3 4.3 4.3 4.4 4.4 4.3 4.4 4.4 4.4 4.4 4.4 4.4 4.4 4.5 4.4 4.3 617.6083225771819
25 6000m 25.03230105589529 34.24110141034251 78.0 5.0 5.0 4.9 4.8 4.9 4.9 4.9 4.8 4.9 4.8 4.8 4.9 4.8 4.8 4.9 4.9 616.4638204563757
27 6000m 27.034618169872235 33.47029393370857 82.9 5.2 5.3 5.3 5.2 5.2 5.2 5.1 5.1 5.2 5.1 5.2 5.2 5.1 5.1 5.2 5.2 622.027741637584
30 6000m 30.04018496957669 32.33611574846967 92.20000000000002 5.8 5.8 5.7 5.8 5.8 5.8 5.9 5.7 5.7 5.8 5.7 5.8 5.7 5.8 5.7 5.7 618.784946684564
32 6000m 32.03840008139159 33.40073145245559 96.19999999999999 6.1 6.1 5.9 6.0 6.0 6.0 6.0 5.9 6.0 6.0 6.1 6.1 6.0 6.0 6.0 6.0 636.51534861745
35 6000m 35.023589165901996 49.83937082936129 99.19999999999999 6.2 6.2 6.2 6.2 6.2 6.2 6.3 6.2 6.2 6.3 6.1 6.1 6.3 6.2 6.2 6.1 679.4327967785237
37 6000m 37.02867513426434 64.79224876070302 99.7 6.3 6.3 6.2 6.2 6.2 6.2 6.3 6.2 6.2 6.3 6.2 6.2 6.2 6.2 6.3 6.2 753.3847572617451
40 6000m 34.23066838150585 5970.746638655462 99.7 6.2 6.3 6.3 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.2 6.3 6.3 6.3 1088.6064086685876
1 6500m 1.017308650832141 43.78333333333333 3.3000000000000003 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.2 0.3 0.2 629.4885506577181
3 6500m 3.017953370388159 43.174157303370784 10.299999999999997 0.7 0.7 0.6 0.7 0.6 0.7 0.7 0.7 0.6 0.6 0.6 0.6 0.7 0.6 0.6 0.6 553.3791802416105
5 6500m 5.019314714221644 43.736486486486484 18.4 1.1 1.1 1.2 1.2 1.2 1.2 1.1 1.1 1.1 1.1 1.2 1.1 1.1 1.2 1.2 1.2 557.1038049932883
7 6500m 7.019840417940507 42.38609112709832 23.9 1.5 1.5 1.5 1.4 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 1.5 560.0335583355705
