rps,cpu_limit,req_rate,req_latency,cpu,cpu0,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,cpu9,cpu10,cpu11,cpu12,cpu13,cpu14,cpu15,memory_usage
18.0,6.5,18.0,38.3,54.6,3.5,3.4,3.3,3.5,3.4,3.5,3.4,3.3,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,580.9
20.0,6.5,20.0,37.4,61.0,3.8,3.8,3.8,3.7,3.9,3.8,3.8,3.7,3.9,3.8,3.8,3.9,3.8,3.9,3.8,3.8,583.5
22.0,6.5,22.0,35.7,65.1,4.0,4.1,4.0,4.0,4.1,4.1,4.0,4.1,4.1,4.1,4.0,4.1,4.2,4.0,4.1,4.1,588.6
25.0,6.5,25.0,34.2,72.9,4.5,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.5,4.6,4.5,4.5,4.6,4.6,4.5,4.5,606.1
27.0,6.5,27.0,33.3,76.7,4.8,4.8,4.7,4.8,4.9,4.8,4.8,4.8,4.8,4.7,4.8,4.9,4.8,4.8,4.8,4.7,602.2
30.0,6.5,30.0,32.2,83.2,5.2,5.2,5.3,5.2,5.2,5.2,5.2,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,606.1
32.0,6.5,32.0,31.8,87.7,5.5,5.5,5.5,5.5,5.4,5.5,5.4,5.6,5.5,5.5,5.4,5.5,5.5,5.5,5.4,5.5,607.7
35.0,6.5,35.0,32.6,95.1,6.0,5.9,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,6.0,5.9,5.9,627.4
37.0,6.5,37.0,39.8,98.7,6.2,6.1,6.2,6.2,6.1,6.2,6.2,6.1,6.2,6.1,6.1,6.2,6.2,6.2,6.2,6.2,649.4
40.0,6.5,40.0,54.3,98.9,6.2,6.1,6.2,6.2,6.2,6.2,6.2,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,743.7
1.0,7.0,1.0,44.9,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,642.9
3.0,7.0,3.0,43.1,9.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,573.2
5.0,7.0,5.0,42.9,17.3,1.0,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.2,1.1,1.1,1.0,1.1,578.5
7.0,7.0,7.0,42.5,22.1,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.4,1.4,1.3,1.4,1.3,1.4,578.2
10.0,7.0,10.0,41.7,30.6,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.9,1.9,2.0,1.9,1.9,1.9,1.9,1.9,1.9,582.5
12.0,7.0,12.0,40.8,35.5,2.3,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.2,2.2,2.3,2.2,2.2,2.2,2.2,583.9
15.0,7.0,15.0,39.6,42.7,2.7,2.7,2.6,2.7,2.8,2.7,2.6,2.6,2.7,2.7,2.6,2.6,2.6,2.7,2.7,2.7,586.7
18.0,7.0,18.0,38.2,51.5,3.2,3.2,3.2,3.2,3.3,3.1,3.2,3.2,3.3,3.2,3.3,3.3,3.2,3.2,3.2,3.2,587.5
20.0,7.0,20.0,37.1,56.4,3.5,3.5,3.5,3.5,3.5,3.4,3.6,3.5,3.6,3.5,3.5,3.6,3.6,3.5,3.5,3.6,587.5
22.0,7.0,22.0,35.8,60.5,3.8,3.8,3.8,3.8,3.9,3.8,3.7,3.8,3.8,3.7,3.8,3.7,3.7,3.7,3.9,3.8,601.9
25.0,7.0,25.0,34.1,67.4,4.2,4.2,4.2,4.2,4.2,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.2,610.7
27.0,7.0,27.0,33.3,71.5,4.5,4.5,4.4,4.5,4.5,4.5,4.5,4.5,4.4,4.5,4.5,4.4,4.4,4.5,4.4,4.5,614.4
30.0,7.0,30.0,32.2,77.8,4.8,4.9,4.9,4.8,4.8,4.9,4.9,4.8,5.0,4.8,4.9,4.9,4.9,4.9,4.8,4.8,639.6
32.0,7.0,32.0,31.8,82.2,5.1,5.2,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.1,5.2,5.2,5.1,5.2,5.2,5.1,658.3
35.0,7.0,35.0,31.6,87.9,5.5,5.5,5.5,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,659.2
37.0,7.0,37.0,32.2,91.6,5.8,5.7,5.7,5.7,5.8,5.7,5.7,5.8,5.7,5.7,5.6,5.7,5.8,5.7,5.8,5.7,674.8
40.0,7.0,40.0,34.5,97.6,6.1,6.1,6.1,6.1,6.1,6.2,6.1,6.1,6.0,6.1,6.0,6.0,6.0,6.2,6.2,6.2,676.5
42.0,7.0,42.0,45.6,98.5,6.2,6.1,6.2,6.1,6.2,6.1,6.2,6.2,6.2,6.2,6.1,6.2,6.1,6.1,6.1,6.2,720.9
1.0,7.5,1.0,45.2,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,625.3
3.0,7.5,3.0,43.9,9.3,0.6,0.6,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,557.1
5.0,7.5,5.0,43.2,14.1,0.9,0.8,0.9,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.8,0.9,0.9,0.8,0.9,1.0,554.1
7.0,7.5,7.0,42.6,20.7,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.4,1.3,1.2,1.2,1.3,1.3,572.1
10.0,7.5,10.0,41.4,28.5,1.8,1.8,1.7,1.8,1.7,1.8,1.7,1.8,1.8,1.8,1.8,1.7,1.8,1.8,1.8,1.9,578.2
12.0,7.5,12.0,40.7,33.7,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.0,579.0
15.0,7.5,15.0,39.7,41.1,2.6,2.6,2.6,2.5,2.6,2.6,2.6,2.5,2.6,2.6,2.5,2.6,2.6,2.6,2.5,2.5,579.5
18.0,7.5,18.0,38.3,47.6,3.0,3.0,3.0,2.9,3.0,3.0,3.0,3.0,3.0,2.9,3.0,2.9,2.9,3.0,3.0,3.0,581.1
20.0,7.5,20.0,37.4,52.4,3.3,3.3,3.3,3.2,3.4,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.2,3.2,3.3,3.2,580.8
22.0,7.5,22.0,36.0,57.2,3.6,3.6,3.6,3.6,3.5,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.6,3.5,3.5,3.5,580.3
25.0,7.5,25.0,34.3,63.1,4.0,4.0,3.9,3.9,3.9,4.0,4.0,3.9,4.0,4.0,3.9,4.0,3.9,3.9,3.9,3.9,579.8
27.0,7.5,27.0,33.4,66.1,4.1,4.2,4.2,4.1,4.1,4.1,4.1,4.1,4.2,4.1,4.1,4.1,4.1,4.1,4.2,4.2,581.7
30.0,7.5,30.0,32.2,72.9,4.6,4.6,4.5,4.6,4.5,4.6,4.5,4.5,4.6,4.6,4.5,4.6,4.6,4.6,4.5,4.5,603.7
32.0,7.5,32.0,32.4,75.8,4.7,4.7,4.7,4.7,4.8,4.7,4.8,4.8,4.7,4.8,4.7,4.7,4.8,4.8,4.7,4.7,626.5
35.0,7.5,35.0,31.7,81.6,5.1,5.1,5.1,5.2,5.2,5.0,5.1,5.1,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,631.2
37.0,7.5,37.0,32.3,86.6,5.4,5.4,5.4,5.4,5.4,5.4,5.5,5.4,5.4,5.5,5.4,5.4,5.3,5.5,5.4,5.4,633.6
40.0,7.5,40.0,32.6,91.2,5.7,5.7,5.7,5.6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.8,5.7,668.7
42.0,7.5,42.1,33.5,94.1,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.9,5.9,5.8,5.8,5.9,5.9,5.9,5.9,5.9,660.3
45.0,7.5,45.1,37.4,97.8,6.1,6.1,6.2,6.1,6.2,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,676.4
47.0,7.5,47.0,48.5,98.6,6.1,6.2,6.2,6.2,6.2,6.1,6.2,6.1,6.2,6.2,6.1,6.2,6.1,6.1,6.2,6.2,725.3
1.0,8.0,1.0,44.3,3.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,621.8
3.0,8.0,3.0,44.0,8.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,557.9
5.0,8.0,5.0,42.9,12.2,0.7,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,562.3
7.0,8.0,7.0,42.2,19.5,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.3,1.2,1.2,565.0
